,C,H,O,heat_rate,T,mass_porc,biomass
50,61.93,0.91,35.47,10,123.999999999997,94.6803069053709,EU
51,61.93,0.91,35.47,15,904.799999999987,9.21144452198183,EU
52,61.93,0.91,35.47,10,762.099999999986,32.1398124467179,EU
53,61.93,0.91,35.47,10,151.899999999996,92.8729752770674,EU
54,61.93,0.91,35.47,10,175.299999999996,91.5089514066496,EU
55,61.93,0.91,35.47,10,735.999999999983,33.7936913895993,EU
56,61.93,0.91,35.47,10,778.299999999987,31.1167945439045,EU
57,61.93,0.91,35.47,20,311.159999999997,91.4036617262424,EU
58,61.93,0.91,35.47,15,305.039999999998,87.8925331472436,EU
59,61.93,0.91,35.47,20,739.199999999993,39.2676547515257,EU
60,61.93,0.91,35.47,10,860.199999999995,23.9386189258312,EU
61,61.93,0.91,35.47,15,788.519999999989,22.5575715282624,EU
62,61.93,0.91,35.47,15,643.679999999992,40.5443126308444,EU
63,61.93,0.91,35.47,15,702.839999999991,37.1249127704117,EU
64,61.93,0.91,35.47,15,111.240000000001,98.5345429169574,EU
65,61.93,0.91,35.47,10,123.099999999997,94.8167092924126,EU
66,61.93,0.91,35.47,10,735.099999999983,33.8277919863598,EU
67,61.93,0.91,35.47,10,697.299999999983,36.0102301790281,EU
68,61.93,0.91,35.47,10,438.099999999989,54.458653026428,EU
69,61.93,0.91,35.47,15,133.680000000001,97.9588276343336,EU
70,61.93,0.91,35.47,15,777.29999999999,24.7557571528262,EU
71,61.93,0.91,35.47,15,131.640000000001,98.0111653872994,EU
72,61.93,0.91,35.47,15,386.639999999997,72.8018143754361,EU
73,61.93,0.91,35.47,20,626.039999999994,46.2423714036617,EU
74,61.93,0.91,35.47,10,375.999999999991,58.8405797101449,EU
75,61.93,0.91,35.47,15,588.599999999993,43.0390788555478,EU
76,61.93,0.91,35.47,10,681.999999999983,37.4936061381075,EU
77,61.93,0.91,35.47,20,876.959999999996,26.922406277245,EU
78,61.93,0.91,35.47,15,59.2200000000005,99.3893928820656,EU
79,61.93,0.91,35.47,15,238.739999999999,92.1842288904396,EU
80,61.93,0.91,35.47,15,345.839999999997,84.1765526866713,EU
81,61.93,0.91,35.47,10,730.599999999982,34.0835464620631,EU
82,61.93,0.91,35.47,10,761.199999999986,32.1398124467179,EU
83,61.93,0.91,35.47,15,662.039999999992,40.0907187718074,EU
84,61.93,0.91,35.47,10,295.899999999993,72.9582267689685,EU
85,61.93,0.91,35.47,15,135.720000000001,97.8890439637125,EU
86,61.93,0.91,35.47,20,771.999999999993,37.5937227550131,EU
87,61.93,0.91,35.47,15,127.560000000001,98.2205163991626,EU
88,61.93,0.91,35.47,15,688.559999999991,38.1367759944173,EU
89,61.93,0.91,35.47,15,552.899999999994,45.4815073272854,EU
90,61.93,0.91,35.47,20,409.559999999996,84.202266782912,EU
91,61.93,0.91,35.47,20,102.879999999999,99.1455972101134,EU
92,61.93,0.91,35.47,15,682.439999999991,38.6427076064201,EU
93,61.93,0.91,35.47,15,488.639999999995,51.7445917655269,EU
94,61.93,0.91,35.47,10,715.299999999982,34.8678601875533,EU
95,61.93,0.91,35.47,15,243.839999999999,90.9281228192603,EU
96,61.93,0.91,35.47,10,444.399999999989,54.0153452685422,EU
97,61.93,0.91,35.47,15,891.539999999988,12.9274249825541,EU
98,61.93,0.91,35.47,20,196.359999999998,97.4891020052311,EU
99,61.93,0.91,35.47,20,844.159999999994,31.7698343504795,EU
100,61.93,0.91,35.47,15,757.91999999999,28.1926029309142,EU
101,61.93,0.91,35.47,10,153.699999999996,92.8218243819267,EU
102,61.93,0.91,35.47,20,845.799999999994,31.0026155187445,EU
103,61.93,0.91,35.47,20,896.639999999997,24.9520488230166,EU
104,61.93,0.91,35.47,15,676.319999999991,39.1137473831124,EU
105,61.93,0.91,35.47,15,322.379999999998,86.496859734822,EU
106,61.93,0.91,35.47,10,738.699999999983,33.6061381074169,EU
107,61.93,0.91,35.47,10,727.899999999982,34.151747655584,EU
108,61.93,0.91,35.47,10,96.9999999999976,96.5046888320546,EU
109,61.93,0.91,35.47,10,540.699999999986,49.4117647058824,EU
110,61.93,0.91,35.47,10,794.499999999989,30.2131287297528,EU
111,61.93,0.91,35.47,20,650.639999999994,44.8823016564952,EU
112,61.93,0.91,35.47,15,659.999999999992,40.1256106071179,EU
113,61.93,0.91,35.47,15,449.879999999996,53.9253314724355,EU
114,61.93,0.91,35.47,10,225.699999999994,88.9855072463769,EU
115,61.93,0.91,35.47,15,163.26,96.9818562456386,EU
116,61.93,0.91,35.47,10,454.299999999989,53.691389599318,EU
117,61.93,0.91,35.47,15,505.979999999994,50.6106071179344,EU
118,61.93,0.91,35.47,20,119.279999999998,98.8840453356582,EU
119,61.93,0.91,35.47,10,389.49999999999,58.2438192668372,EU
120,61.93,0.91,35.47,20,780.199999999993,37.0357454228422,EU
121,61.93,0.91,35.47,10,417.39999999999,55.7885763000852,EU
122,61.93,0.91,35.47,15,251.999999999999,90.4221912072575,EU
123,61.93,0.91,35.47,10,708.099999999982,35.4987212276215,EU
124,61.93,0.91,35.47,15,102.060000000001,98.6915561758549,EU
125,61.93,0.91,35.47,15,445.799999999996,54.0648988136776,EU
126,61.93,0.91,35.47,15,518.219999999994,48.9532449406839,EU
127,61.93,0.91,35.47,10,290.499999999993,74.3904518329071,EU
128,61.93,0.91,35.47,15,349.919999999997,83.4089323098395,EU
129,61.93,0.91,35.47,15,620.219999999992,41.7480809490579,EU
130,61.93,0.91,35.47,15,809.939999999989,18.8764829030007,EU
131,61.93,0.91,35.47,10,226.599999999994,88.917306052856,EU
132,61.93,0.91,35.47,10,627.099999999984,42.1142369991475,EU
133,61.93,0.91,35.47,10,35.7999999999992,99.4884910485934,EU
134,61.93,0.91,35.47,15,503.939999999994,50.8374040474529,EU
135,61.93,0.91,35.47,10,635.199999999984,41.4663256606991,EU
136,61.93,0.91,35.47,15,590.639999999993,42.9692951849268,EU
137,61.93,0.91,35.47,10,101.499999999998,96.2148337595908,EU
138,61.93,0.91,35.47,20,50.399999999999,99.6687009590236,EU
139,61.93,0.91,35.47,20,509.599999999995,65.231037489102,EU
140,61.93,0.91,35.47,10,168.099999999996,91.9522591645354,EU
141,61.93,0.91,35.47,15,170.4,96.7201674808095,EU
142,61.93,0.91,35.47,10,28.5999999999993,99.8124467178176,EU
143,61.93,0.91,35.47,10,313.899999999992,67.0247229326514,EU
144,61.93,0.91,35.47,15,468.239999999995,53.24494068388,EU
145,61.93,0.91,35.47,10,280.599999999993,76.8968456947997,EU
146,61.93,0.91,35.47,10,404.79999999999,56.9650468883206,EU
147,61.93,0.91,35.47,20,453.839999999996,76.7916303400174,EU
148,61.93,0.91,35.47,15,332.579999999997,85.6420097697139,EU
149,61.93,0.91,35.47,15,628.379999999992,41.4340544312631,EU
150,61.93,0.91,35.47,15,287.699999999998,88.7822749476622,EU
151,61.93,0.91,35.47,10,605.499999999985,43.8022165387894,EU
152,61.93,0.91,35.47,20,614.559999999994,46.9398430688753,EU
