,C,H,O,heat_rate,T,mass_porc,biomass_SD
157,44.71,1.48,49.33,5,710.99002884616,6.41425389755019,True
158,44.71,1.48,49.33,5,109.994591346154,94.9665924276169,True
159,44.71,1.48,49.33,10,632.703703703689,7.40254051686379,True
160,44.71,1.48,49.33,5,47.0649038461538,99.1091314031181,True
161,44.71,1.48,49.33,10,273.407407407401,73.4997809899255,True
162,44.71,1.48,49.33,5,67.1039663461538,97.6391982182628,True
163,44.71,1.48,49.33,15,377.353846153843,27.861123017574,True
164,44.71,1.48,49.33,5,691.165028846156,6.72605790645879,True
165,44.71,1.48,49.33,5,701.47402884616,6.54788418708249,True
166,44.71,1.48,49.33,10,389.437037037028,16.9075777485764,True
167,44.71,1.48,49.33,15,128.646153846154,94.856408058294,True
168,44.71,1.48,49.33,10,429.651851851842,14.1480508103373,True
169,44.71,1.48,49.33,10,278.681481481475,71.1344721857205,True
170,44.71,1.48,49.33,15,766.75384615384,3.34333476210884,True
171,44.71,1.48,49.33,5,425.346153846154,15.5011135857448,True
172,44.71,1.48,49.33,5,889.41502884618,0.356347438752745,True
173,44.71,1.48,49.33,5,73.0805288461538,96.7037861915367,True
174,44.71,1.48,49.33,5,437.405028846154,14.4766146993293,True
175,44.71,1.48,49.33,10,527.881481481469,10.1182654402103,True
176,44.71,1.48,49.33,5,203.510216346154,90.6904231625835,True
177,44.71,1.48,49.33,10,275.385185185179,72.317126587823,True
178,44.71,1.48,49.33,15,707.753846153838,5.74367766823833,True
179,44.71,1.48,49.33,15,143.169230769231,94.2991855979425,True
180,44.71,1.48,49.33,5,80.1117788461538,96.1692650334075,True
181,44.71,1.48,49.33,5,250.971153846154,86.4587973273941,True
182,44.71,1.48,49.33,5,730.02202884616,6.2806236080179,True
183,44.71,1.48,49.33,10,701.266666666651,5.60665790626369,True
184,44.71,1.48,49.33,5,42.8461538461538,99.3318485523385,True
185,44.71,1.48,49.33,15,230.307692307691,89.6270895842263,True
186,44.71,1.48,49.33,5,119.135216346154,94.7438752783964,True
187,44.71,1.48,49.33,15,754.04615384614,3.98628375482211,True
188,44.71,1.48,49.33,5,219.682091346154,89.4432071269487,True
189,44.71,1.48,49.33,5,801.39202884617,4.00890868596881,True
190,44.71,1.48,49.33,10,752.029629629611,4.11738939991245,True
191,44.71,1.48,49.33,10,591.829629629616,8.32238282961021,True
192,44.71,1.48,49.33,10,134.303703703701,95.9264126149803,True
193,44.71,1.48,49.33,15,494.446153846149,13.2447492498929,True
194,44.71,1.48,49.33,10,290.548148148141,68.1997371879105,True
195,44.71,1.48,49.33,5,834.69802884618,2.44988864142538,True
196,44.71,1.48,49.33,5,260.814903846154,84.8997772828507,True
