,C,H,O,heat_rate,T,mass_porc,biomass_EU
1454,61.93,0.91,35.47,10,562.299999999986,47.68968456948,True
1455,61.93,0.91,35.47,10,857.499999999995,24.7740835464621,True
1456,61.93,0.91,35.47,20,670.319999999994,43.8884045335658,True
1457,61.93,0.91,35.47,20,165.199999999998,98.2214472537053,True
1458,61.93,0.91,35.47,15,817.079999999989,18.5799023028612,True
1459,61.93,0.91,35.47,15,197.94,95.6210746685276,True
1460,61.93,0.91,35.47,20,255.399999999997,95.2920662598082,True
1461,61.93,0.91,35.47,15,511.079999999994,49.6510816468946,True
1462,61.93,0.91,35.47,10,65.4999999999984,98.3972719522592,True
1463,61.93,0.91,35.47,10,77.1999999999981,97.9539641943734,True
1464,61.93,0.91,35.47,15,459.059999999995,53.4368457780879,True
1465,61.93,0.91,35.47,10,898.899999999999,17.4254049445865,True
1466,61.93,0.91,35.47,20,276.719999999997,93.2693984306887,True
1467,61.93,0.91,35.47,20,775.279999999993,37.4542284219704,True
1468,61.93,0.91,35.47,10,28.5999999999993,99.8124467178176,True
1469,61.93,0.91,35.47,10,222.999999999994,89.1219096334186,True
1470,61.93,0.91,35.47,15,353.999999999997,82.658757850663,True
1471,61.93,0.91,35.47,20,606.359999999994,47.3583260680035,True
1472,61.93,0.91,35.47,10,740.499999999983,33.5208866155158,True
1473,61.93,0.91,35.47,20,811.359999999993,34.7340889276373,True
1474,61.93,0.91,35.47,20,896.639999999997,24.9520488230166,True
1475,61.93,0.91,35.47,10,644.199999999984,40.8354646206309,True
1476,61.93,0.91,35.47,10,27.6999999999994,99.8806479113385,True
1477,61.93,0.91,35.47,20,319.359999999997,90.7236268526591,True
1478,61.93,0.91,35.47,10,655.899999999984,40.0,True
1479,61.93,0.91,35.47,20,634.239999999994,45.5797733217088,True
1480,61.93,0.91,35.47,20,786.759999999993,36.6521360069747,True
1481,61.93,0.91,35.47,10,870.099999999997,23.1031543052004,True
1482,61.93,0.91,35.47,10,121.299999999997,94.8508098891731,True
1483,61.93,0.91,35.47,20,281.639999999997,93.1124673060157,True
1484,61.93,0.91,35.47,10,184.299999999995,91.2531969309463,True
1485,61.93,0.91,35.47,10,291.399999999993,74.0323955669224,True
1486,61.93,0.91,35.47,10,26.7999999999994,99.9488491048593,True
1487,61.93,0.91,35.47,15,724.259999999991,34.542916957432,True
1488,61.93,0.91,35.47,10,503.799999999987,51.457800511509,True
1489,61.93,0.91,35.47,10,78.0999999999981,97.919863597613,True
1490,61.93,0.91,35.47,20,466.959999999996,72.9555361813427,True
1491,61.93,0.91,35.47,20,411.199999999996,84.1673931996513,True
1492,61.93,0.91,35.47,15,69.4200000000006,99.2498255408234,True
1493,61.93,0.91,35.47,15,550.859999999994,45.6036287508723,True
1494,61.93,0.91,35.47,15,651.839999999992,40.2651779483601,True
1495,61.93,0.91,35.47,15,598.799999999993,42.4284717376134,True
1496,61.93,0.91,35.47,15,196.92,95.7083042568039,True
1497,61.93,0.91,35.47,10,698.199999999982,35.9761295822677,True
1498,61.93,0.91,35.47,10,123.099999999997,94.8167092924126,True
1499,61.93,0.91,35.47,15,530.459999999994,47.6448011165388,True
1500,61.93,0.91,35.47,15,317.279999999998,87.0725750174459,True
1501,61.93,0.91,35.47,15,464.159999999995,53.3670621074669,True
1502,61.93,0.91,35.47,15,702.839999999991,37.1249127704117,True
1503,61.93,0.91,35.47,10,421.899999999989,55.3282182438193,True
1504,61.93,0.91,35.47,20,524.359999999995,60.1394943330428,True
1505,61.93,0.91,35.47,20,616.199999999994,46.7829119442023,True
1506,61.93,0.91,35.47,15,89.8200000000008,98.9357990230286,True
1507,61.93,0.91,35.47,10,604.599999999985,43.8533674339301,True
1508,61.93,0.91,35.47,15,860.939999999988,14.1486392184229,True
1509,61.93,0.91,35.47,15,178.56,96.493370551291,True
1510,61.93,0.91,35.47,10,361.599999999991,59.7612958226769,True
1511,61.93,0.91,35.47,10,507.399999999987,51.2361466325661,True
1512,61.93,0.91,35.47,20,712.959999999994,40.8544027898867,True
1513,61.93,0.91,35.47,15,148.980000000001,97.3482205163991,True
1514,61.93,0.91,35.47,20,750.679999999993,38.7794245858762,True
1515,61.93,0.91,35.47,15,872.159999999988,13.8171667829728,True
1516,61.93,0.91,35.47,10,874.599999999997,22.3188405797102,True
1517,61.93,0.91,35.47,15,544.739999999994,46.1793440334961,True
1518,61.93,0.91,35.47,15,718.139999999991,35.6594556873692,True
1519,61.93,0.91,35.47,10,561.399999999986,47.7578857630008,True
1520,61.93,0.91,35.47,20,645.719999999994,45.0217959895379,True
1521,61.93,0.91,35.47,20,97.9599999999986,99.2502179598954,True
1522,61.93,0.91,35.47,20,589.959999999995,48.9450741063644,True
1523,61.93,0.91,35.47,10,304.899999999992,71.0997442455244,True
1524,61.93,0.91,35.47,10,111.399999999997,95.8056265984655,True
1525,61.93,0.91,35.47,15,242.819999999999,90.9455687369156,True
1526,61.93,0.91,35.47,10,356.199999999991,60.0511508951407,True
1527,61.93,0.91,35.47,20,368.559999999996,86.2598081952921,True
1528,61.93,0.91,35.47,10,594.699999999985,44.7740835464621,True
1529,61.93,0.91,35.47,10,899.8,17.1014492753623,True
1530,61.93,0.91,35.47,20,350.519999999997,87.4629468177855,True
1531,61.93,0.91,35.47,20,393.159999999996,84.9171752397559,True
1532,61.93,0.91,35.47,20,465.319999999996,73.0078465562337,True
1533,61.93,0.91,35.47,10,122.199999999997,94.8508098891731,True
1534,61.93,0.91,35.47,20,791.679999999993,36.5475152571927,True
1535,61.93,0.91,35.47,15,291.779999999998,88.6775994417306,True
1536,61.93,0.91,35.47,15,824.219999999989,16.817864619679,True
1537,61.93,0.91,35.47,10,163.599999999996,92.0545609548168,True
1538,61.93,0.91,35.47,10,52.8999999999987,98.9428815004263,True
1539,61.93,0.91,35.47,10,493.899999999988,51.9011082693947,True
1540,61.93,0.91,35.47,10,854.799999999995,24.9445865302643,True
1541,61.93,0.91,35.47,20,29.0799999999992,99.947689625109,True
1542,61.93,0.91,35.47,15,174.48,96.5806001395674,True
1543,61.93,0.91,35.47,10,88.8999999999978,97.3913043478261,True
1544,61.93,0.91,35.47,15,785.45999999999,23.4996510816469,True
1545,61.93,0.91,35.47,15,828.299999999989,16.817864619679,True
1546,61.93,0.91,35.47,10,66.3999999999984,98.380221653879,True
1547,61.93,0.91,35.47,15,292.799999999998,88.6078157711096,True
1548,61.93,0.91,35.47,10,270.699999999993,81.3469735720375,True
1549,61.93,0.91,35.47,10,496.599999999988,51.7817561807332,True
1550,61.93,0.91,35.47,10,87.9999999999978,97.4765558397272,True
1551,61.93,0.91,35.47,10,487.599999999988,52.1398124467178,True
1552,61.93,0.91,35.47,10,499.299999999987,51.5942028985507,True
1553,61.93,0.91,35.47,20,396.439999999996,84.8299912816042,True
1554,61.93,0.91,35.47,15,312.179999999998,87.595952547104,True
1555,61.93,0.91,35.47,10,897.999999999999,17.6300085251492,True
1556,61.93,0.91,35.47,15,513.119999999994,49.4417306350314,True
1557,61.93,0.91,35.47,10,252.699999999994,85.2685421994885,True
1558,61.93,0.91,35.47,10,114.999999999997,95.4134697357204,True
1559,61.93,0.91,35.47,15,534.539999999994,47.2958827634333,True
1560,61.93,0.91,35.47,15,837.479999999989,15.8757850662945,True
1561,61.93,0.91,35.47,10,865.599999999996,23.3759590792839,True
1562,61.93,0.91,35.47,15,856.859999999988,14.1486392184229,True
1563,61.93,0.91,35.47,20,822.839999999993,33.6878814298169,True
1564,61.93,0.91,35.47,20,689.999999999994,42.0052310374891,True
1565,61.93,0.91,35.47,10,439.899999999989,54.2710997442455,True
1566,61.93,0.91,35.47,10,570.399999999986,46.3938618925831,True
1567,61.93,0.91,35.47,10,326.499999999992,64.6547314578006,True
1568,61.93,0.91,35.47,15,482.519999999995,52.1632937892533,True
1569,61.93,0.91,35.47,10,489.399999999988,52.1057118499574,True
1570,61.93,0.91,35.47,15,158.160000000001,97.1737613398465,True
1571,61.93,0.91,35.47,15,238.739999999999,92.1842288904396,True
1572,61.93,0.91,35.47,10,541.599999999986,49.4117647058824,True
1573,61.93,0.91,35.47,20,504.679999999995,65.6669572798605,True
1574,61.93,0.91,35.47,10,193.299999999995,90.6223358908781,True
1575,61.93,0.91,35.47,10,506.499999999987,51.2872975277067,True
1576,61.93,0.91,35.47,10,855.699999999995,24.9104859335038,True
1577,61.93,0.91,35.47,20,68.4399999999989,99.5466434176112,True
1578,61.93,0.91,35.47,10,371.499999999991,59.0451832907076,True
