,C,H,O,heat_rate,T,mass_porc,biomass_ESP
2589,41.67,5.28,39.77,15,633,6.86382,True
2590,41.67,5.28,39.77,15,681,6.6504,True
2591,41.67,5.28,39.77,10,586,6.50897,True
2592,41.67,5.28,39.77,10,661,5.75198,True
2593,41.67,5.28,39.77,15,372,21.10691,True
2594,41.67,5.28,39.77,20,261,87.73425561007,True
2595,41.67,5.28,39.77,10,261,78.25774,True
2596,41.67,5.28,39.77,20,840,6.23743263894478,True
2597,41.67,5.28,39.77,10,90,99.72581,True
2598,41.67,5.28,39.77,10,902,6.21421,True
2599,41.67,5.28,39.77,20,47,100.0,True
2600,41.67,5.28,39.77,20,278,79.6911445347061,True
2601,41.67,5.28,39.77,10,482,7.20196,True
2602,41.67,5.28,39.77,10,841,5.69085,True
2603,41.67,5.28,39.77,20,88,100.0,True
2604,41.67,5.28,39.77,20,823,6.31786374969838,True
2605,41.67,5.28,39.77,20,573,7.966701520148,True
2606,41.67,5.28,39.77,10,564,6.64437,True
2607,41.67,5.28,39.77,20,487,11.7067481701922,True
2608,41.67,5.28,39.77,10,275,63.25099,True
2609,41.67,5.28,39.77,15,279,70.35964,True
2610,41.67,5.28,39.77,20,806,6.37818708276361,True
2611,41.67,5.28,39.77,20,238,94.8926244671439,True
2612,41.67,5.28,39.77,10,492,7.02108,True
2613,41.67,5.28,39.77,10,614,5.9684,True
2614,41.67,5.28,39.77,15,256,86.15689,True
2615,41.67,5.28,39.77,10,831,5.71124,True
2616,41.67,5.28,39.77,10,609,6.01815,True
2617,41.67,5.28,39.77,10,285,47.43563,True
2618,41.67,5.28,39.77,20,316,36.8213625030162,True
2619,41.67,5.28,39.77,10,864,6.19712,True
2620,41.67,5.28,39.77,15,42,100.0,True
2621,41.67,5.28,39.77,10,316,24.86549,True
2622,41.67,5.28,39.77,15,414,15.83248,True
2623,41.67,5.28,39.77,10,705,5.86767,True
2624,41.67,5.28,39.77,10,39,100.0,True
2625,41.67,5.28,39.77,10,338,21.07203,True
2626,41.67,5.28,39.77,15,52,100.0,True
2627,41.67,5.28,39.77,20,657,6.9210970803507,True
2628,41.67,5.28,39.77,10,612,6.00057,True
2629,41.67,5.28,39.77,20,758,6.47872597120571,True
2630,41.67,5.28,39.77,10,871,6.1082,True
2631,41.67,5.28,39.77,10,372,17.09405,True
2632,41.67,5.28,39.77,10,710,5.83941,True
2633,41.67,5.28,39.77,20,229,96.0387677953832,True
2634,41.67,5.28,39.77,10,99,99.52528,True
2635,41.67,5.28,39.77,10,63,100.10102,True
2636,41.67,5.28,39.77,10,284,49.61265,True
2637,41.67,5.28,39.77,15,380,19.98066,True
2638,41.67,5.28,39.77,20,69,100.0,True
2639,41.67,5.28,39.77,15,103,99.95836,True
2640,41.67,5.28,39.77,10,586,6.48572,True
2641,41.67,5.28,39.77,20,48,100.0,True
2642,41.67,5.28,39.77,15,52,100.0,True
2643,41.67,5.28,39.77,10,737,5.73459,True
2644,41.67,5.28,39.77,20,554,8.30853374085089,True
2645,41.67,5.28,39.77,10,600,6.132,True
2646,41.67,5.28,39.77,15,669,6.67164,True
2647,41.67,5.28,39.77,20,63,100.0,True
2648,41.67,5.28,39.77,20,670,6.84066596959696,True
2649,41.67,5.28,39.77,15,225,95.74993,True
2650,41.67,5.28,39.77,15,486,10.39142,True
2651,41.67,5.28,39.77,10,587,6.50158,True
2652,41.67,5.28,39.77,20,563,8.18788707472042,True
2653,41.67,5.28,39.77,15,248,91.68251,True
2654,41.67,5.28,39.77,10,35,100.0,True
2655,41.67,5.28,39.77,20,96,100.0,True
2656,41.67,5.28,39.77,10,442,9.15535,True
2657,41.67,5.28,39.77,20,648,7.00152819110429,True
2658,41.67,5.28,39.77,15,330,29.46796,True
2659,41.67,5.28,39.77,15,517,8.55605,True
2660,41.67,5.28,39.77,10,85,99.86291,True
2661,41.67,5.28,39.77,10,790,5.74439,True
2662,41.67,5.28,39.77,15,414,15.9495,True
2663,41.67,5.28,39.77,15,168,99.81308,True
2664,41.67,5.28,39.77,15,802,5.01434,True
2665,41.67,5.28,39.77,10,251,86.79682,True
2666,41.67,5.28,39.77,10,495,6.97349,True
2667,41.67,5.28,39.77,15,574,7.12077,True
2668,41.67,5.28,39.77,20,199,99.4771977801014,True
2669,41.67,5.28,39.77,10,743,5.82544,True
2670,41.67,5.28,39.77,20,616,7.30314485643045,True
2671,41.67,5.28,39.77,20,717,6.61948041502454,True
2672,41.67,5.28,39.77,15,545,7.58333,True
2673,41.67,5.28,39.77,10,70,100.12417,True
2674,41.67,5.28,39.77,10,839,5.62495,True
2675,41.67,5.28,39.77,15,842,5.01101,True
2676,41.67,5.28,39.77,10,840,5.93378,True
2677,41.67,5.28,39.77,10,650,5.63422,True
2678,41.67,5.28,39.77,15,488,10.25977,True
2679,41.67,5.28,39.77,15,227,95.55237,True
2680,41.67,5.28,39.77,15,369,21.61198,True
2681,41.67,5.28,39.77,15,754,6.16059,True
2682,41.67,5.28,39.77,15,766,6.07887,True
2683,41.67,5.28,39.77,15,485,10.52544,True
2684,41.67,5.28,39.77,20,207,98.8136411163839,True
2685,41.67,5.28,39.77,15,794,5.17864,True
2686,41.67,5.28,39.77,20,598,7.64497707713348,True
2687,41.67,5.28,39.77,10,831,5.72977,True
2688,41.67,5.28,39.77,15,540,7.65976,True
2689,41.67,5.28,39.77,15,587,6.99193,True
2690,41.67,5.28,39.77,10,637,5.76583,True
2691,41.67,5.28,39.77,20,731,6.53904930427094,True
2692,41.67,5.28,39.77,20,328,31.7340947478485,True
2693,41.67,5.28,39.77,20,636,7.14228263492312,True
2694,41.67,5.28,39.77,15,683,6.63999,True
2695,41.67,5.28,39.77,20,475,12.531167055417,True
2696,41.67,5.28,39.77,20,650,7.00152819110429,True
2697,41.67,5.28,39.77,15,364,22.4512,True
2698,41.67,5.28,39.77,20,87,100.0,True
2699,41.67,5.28,39.77,10,742,5.8069,True
2700,41.67,5.28,39.77,10,237,92.83134,True
2701,41.67,5.28,39.77,15,202,98.26808,True
2702,41.67,5.28,39.77,15,714,6.55503,True
2703,41.67,5.28,39.77,10,685,5.70288,True
2704,41.67,5.28,39.77,10,432,9.91716,True
2705,41.67,5.28,39.77,10,395,13.72166,True
2706,41.67,5.28,39.77,15,36,100.0,True
2707,41.67,5.28,39.77,10,82,99.98166,True
2708,41.67,5.28,39.77,15,36,100.0,True
2709,41.67,5.28,39.77,15,660,6.74209,True
2710,41.67,5.28,39.77,15,583,7.04519,True
2711,41.67,5.28,39.77,20,613,7.38357596718405,True
2712,41.67,5.28,39.77,20,702,6.69991152577813,True
2713,41.67,5.28,39.77,15,785,5.56486,True
2714,41.67,5.28,39.77,10,402,12.90539,True
2715,41.67,5.28,39.77,15,181,99.48606,True
2716,41.67,5.28,39.77,10,886,6.14616,True
2717,41.67,5.28,39.77,10,65,100.11837,True
2718,41.67,5.28,39.77,20,619,7.30314485643045,True
2719,41.67,5.28,39.77,20,642,7.08195930185789,True
