,C,H,O,heat_rate,T,mass_porc,biomass_OP
413,52.79,2.57,42.75,15,24.215,94.8999177406087,True
414,52.79,2.57,42.75,5,24.358,94.6978467237787,True
415,52.79,2.57,42.75,5,20.38,2.59319286871965,True
416,52.79,2.57,42.75,5,21.479,28.0388978930308,True
417,52.79,2.57,42.75,10,20.821,10.2490421455938,True
418,52.79,2.57,42.75,5,20.376,2.52373234545038,True
419,52.79,2.57,42.75,5,20.85,13.4984950219959,True
420,52.79,2.57,42.75,15,21.002,6.80010967918831,True
421,52.79,2.57,42.75,5,21.726,33.4568187080343,True
422,52.79,2.57,42.75,10,20.663,6.4655172413793,True
423,52.79,2.57,42.75,5,21.489,28.2472794628386,True
424,52.79,2.57,42.75,10,20.995,14.4157088122605,True
425,52.79,2.57,42.75,5,20.313,1.01875434128272,True
426,52.79,2.57,42.75,10,20.648,6.10632183908044,True
427,52.79,2.57,42.75,15,22.202,39.0183712640526,True
428,52.79,2.57,42.75,15,21.049,8.0888401425829,True
429,52.79,2.57,42.75,5,24.576,99.7684649224358,True
430,52.79,2.57,42.75,5,21.345,24.9363278536699,True
431,52.79,2.57,42.75,10,20.466,1.74808429118766,True
432,52.79,2.57,42.75,10,24.487,98.036398467433,True
433,52.79,2.57,42.75,10,20.533,3.35249042145587,True
434,52.79,2.57,42.75,5,20.423,3.61194721000229,True
435,52.79,2.57,42.75,10,23.561,75.8620689655173,True
436,52.79,2.57,42.75,10,20.521,3.06513409961686,True
437,52.79,2.57,42.75,15,20.879,3.42747463668769,True
438,52.79,2.57,42.75,10,21.174,18.7021072796935,True
439,52.79,2.57,42.75,10,24.32,94.0373563218391,True
440,52.79,2.57,42.75,15,20.945,5.23718124485876,True
441,52.79,2.57,42.75,5,20.574,7.10812688122256,True
442,52.79,2.57,42.75,10,24.469,97.6053639846744,True
443,52.79,2.57,42.75,15,21.609,22.5664930079518,True
444,52.79,2.57,42.75,15,20.965,5.78557718672878,True
445,52.79,2.57,42.75,15,20.986,6.36139292569234,True
446,52.79,2.57,42.75,5,21.11,19.4489465153971,True
447,52.79,2.57,42.75,10,20.455,1.48467432950186,True
448,52.79,2.57,42.75,15,22.912,57.4993145050726,True
449,52.79,2.57,42.75,5,21.344,24.890020838157,True
450,52.79,2.57,42.75,5,20.633,8.47418383885158,True
451,52.79,2.57,42.75,15,24.233,95.2837948999177,True
452,52.79,2.57,42.75,5,20.695,9.90970131974996,True
453,52.79,2.57,42.75,10,24.462,97.4377394636015,True
