,C,H,O,heat_rate,T,mass_porc,biomass_ESP,biomass_EU,biomass_MCP,biomass_MSP,biomass_MV,biomass_OU,biomass_PP,biomass_SD
16203,78.78,0.82,19.91,10,725.840000000013,22.0853573907009,False,False,False,False,True,False,False,False
16204,48.95,1.38,48.41,5,125.000000000004,98.766458394787,False,False,False,False,False,False,True,False
16205,61.93,0.91,35.47,15,483.539999999995,52.076064200977,False,True,False,False,False,False,False,False
16206,61.93,0.91,35.47,10,355.299999999991,60.1023017902813,False,True,False,False,False,False,False,False
16207,41.67,5.28,39.77,20,785.0,6.4586181935172,True,False,False,False,False,False,False,False
16208,44.71,1.48,49.33,10,825.20740740738,2.36530880420493,False,False,False,False,False,False,False,True
16209,75.63,0.79,22.14,20,444.199999999996,69.838285069575,False,False,False,False,False,True,False,False
16210,75.63,0.79,22.14,10,189.08,90.9315589353612,False,False,False,False,False,True,False,False
16211,45.49,5.61,42.1,15,845.91699,5.59799200000001,False,False,True,False,False,False,False,False
16212,75.63,0.79,22.14,20,289.760000000001,88.7363670552839,False,False,False,False,False,True,False,False
16213,44.71,1.48,49.33,10,887.83703703701,0.438020148926919,False,False,False,False,False,False,False,True
16214,45.49,5.61,42.1,10,53.156,99.4794942372881,False,False,True,False,False,False,False,False
16215,61.93,0.91,35.47,10,870.999999999997,22.847399829497,False,True,False,False,False,False,False,False
16216,45.51,5.58,41.82,5,474.89099,29.5815988636364,False,False,False,True,False,False,False,False
16217,45.51,5.58,41.82,10,436.793,35.0879983529412,False,False,False,True,False,False,False,False
16218,41.67,5.28,39.77,10,476.0,7.34795,True,False,False,False,False,False,False,False
16219,44.71,1.48,49.33,15,751.32307692307,4.11487355336477,False,False,False,False,False,False,False,True
16220,41.67,5.28,39.77,20,276.0,81.5410600820397,True,False,False,False,False,False,False,False
16221,45.49,5.61,42.1,5,870.03699,17.6517650793651,False,False,True,False,False,False,False,False
16222,44.71,1.48,49.33,5,349.057091346154,35.0556792873051,False,False,False,False,False,False,False,True
16223,45.49,5.61,42.1,5,660.85999,20.4315873015873,False,False,True,False,False,False,False,False
16224,48.95,1.38,48.41,10,439.600000000012,21.5716096324462,False,False,False,False,False,False,True,False
16225,45.49,5.61,42.1,5,823.51898,18.2339619047618,False,False,True,False,False,False,False,False
16226,45.49,5.61,42.1,5,896.93903,17.2998349206349,False,False,True,False,False,False,False,False
16227,75.63,0.79,22.14,10,240.919999999999,88.0988593155893,False,False,False,False,False,True,False,False
