,C,H,O,heat_rate,T,mass_porc,biomass_OU
2784,75.63,0.79,22.14,10,630.800000000001,24.6958174904943,True
2785,75.63,0.79,22.14,10,603.260000000002,26.0456273764259,True
2786,75.63,0.79,22.14,15,495.949999999993,52.1880724608182,True
2787,75.63,0.79,22.14,15,795.409999999977,26.8471402401791,True
2788,75.63,0.79,22.14,10,61.6399999999999,96.1216730038023,True
2789,75.63,0.79,22.14,10,428.840000000005,44.1634980988593,True
2790,75.63,0.79,22.14,20,745.279999999986,35.6148928168485,True
2791,75.63,0.79,22.14,10,608.660000000002,25.7794676806084,True
2792,75.63,0.79,22.14,15,557.32999999999,44.3720740891512,True
2793,75.63,0.79,22.14,10,812.239999999988,16.9961977186311,True
2794,75.63,0.79,22.14,20,673.519999999988,38.8115833019932,True
2795,75.63,0.79,22.14,20,835.759999999983,32.0797292215119,True
2796,75.63,0.79,22.14,10,476.360000000007,37.3384030418251,True
2797,75.63,0.79,22.14,10,790.63999999999,18.0418250950571,True
2798,75.63,0.79,22.14,10,107.54,94.0684410646388,True
2799,75.63,0.79,22.14,15,75.5900000000015,98.9822918786892,True
2800,75.63,0.79,22.14,20,831.079999999983,32.1549454682212,True
2801,75.63,0.79,22.14,10,553.040000000006,28.2319391634981,True
2802,75.63,0.79,22.14,10,288.44,84.5437262357414,True
2803,75.63,0.79,22.14,15,388.999999999999,77.1829839202117,True
2804,75.63,0.79,22.14,20,130.64,95.3177886423468,True
2805,75.63,0.79,22.14,15,558.25999999999,44.351719926725,True
2806,75.63,0.79,22.14,15,486.649999999994,53.3279055566864,True
2807,75.63,0.79,22.14,20,657.919999999989,39.3569010906356,True
2808,75.63,0.79,22.14,10,652.939999999999,23.9923954372624,True
2809,75.63,0.79,22.14,10,151.82,93.0798479087452,True
2810,75.63,0.79,22.14,15,866.089999999979,23.2240993283126,True
2811,75.63,0.79,22.14,15,805.639999999977,26.460411154081,True
2812,75.63,0.79,22.14,15,357.380000000001,82.6786077752901,True
2813,75.63,0.79,22.14,20,86.9600000000003,98.8341481760061,True
2814,75.63,0.79,22.14,10,430.460000000005,44.0304182509505,True
2815,75.63,0.79,22.14,10,43.82,97.6235741444867,True
2816,75.63,0.79,22.14,10,291.14,84.3536121673004,True
2817,75.63,0.79,22.14,15,453.169999999996,59.4748626094036,True
2818,75.63,0.79,22.14,10,729.619999999994,20.5513307984791,True
2819,75.63,0.79,22.14,15,520.129999999992,48.6668023610828,True
2820,75.63,0.79,22.14,10,743.659999999993,20.0,True
2821,75.63,0.79,22.14,10,698.839999999996,21.6920152091254,True
2822,75.63,0.79,22.14,20,389.599999999998,81.3087626927416,True
2823,75.63,0.79,22.14,10,301.400000000001,82.8326996197718,True
2824,75.63,0.79,22.14,15,870.739999999979,22.9391410543456,True
2825,75.63,0.79,22.14,10,209.599999999999,90.0380228136882,True
2826,75.63,0.79,22.14,15,29.0900000000012,99.9389375127214,True
2827,75.63,0.79,22.14,10,854.899999999985,14.2015209125475,True
2828,75.63,0.79,22.14,10,901.879999999982,9.65779467680606,True
2829,75.63,0.79,22.14,10,196.1,90.6653992395437,True
2830,75.63,0.79,22.14,10,786.31999999999,18.3460076045627,True
2831,75.63,0.79,22.14,10,259.279999999999,87.0722433460075,True
2832,75.63,0.79,22.14,10,758.239999999992,19.4296577946768,True
2833,75.63,0.79,22.14,10,734.479999999994,20.3041825095057,True
2834,75.63,0.79,22.14,15,539.659999999991,45.7154488092815,True
2835,75.63,0.79,22.14,20,687.559999999988,38.097028958255,True
2836,75.63,0.79,22.14,10,444.500000000006,41.5969581749049,True
2837,75.63,0.79,22.14,10,418.580000000005,46.8821292775665,True
2838,75.63,0.79,22.14,10,306.800000000001,82.0152091254753,True
2839,75.63,0.79,22.14,10,110.24,94.0304182509506,True
2840,75.63,0.79,22.14,15,885.61999999998,22.2878078567067,True
2841,75.63,0.79,22.14,10,640.52,24.467680608365,True
2842,75.63,0.79,22.14,10,825.199999999987,16.2167300380228,True
2843,75.63,0.79,22.14,10,212.839999999999,89.6007604562738,True
2844,75.63,0.79,22.14,10,811.159999999988,17.0532319391635,True
2845,75.63,0.79,22.14,10,436.400000000006,42.7756653992395,True
2846,75.63,0.79,22.14,10,604.340000000002,25.9885931558935,True
2847,75.63,0.79,22.14,10,831.139999999987,15.893536121673,True
2848,75.63,0.79,22.14,20,597.079999999991,42.6664159458444,True
2849,75.63,0.79,22.14,10,132.380000000001,93.4980988593155,True
2850,75.63,0.79,22.14,15,678.229999999984,34.2560553633218,True
2851,75.63,0.79,22.14,15,159.290000000002,95.8273967026257,True
2852,75.63,0.79,22.14,15,492.229999999994,52.4933848972115,True
2853,75.63,0.79,22.14,15,840.049999999977,24.8117239975575,True
2854,75.63,0.79,22.14,15,461.539999999995,58.3757378383879,True
2855,75.63,0.79,22.14,20,823.279999999983,32.3617901466717,True
2856,75.63,0.79,22.14,10,904.039999999982,9.04942965779466,True
2857,75.63,0.79,22.14,10,884.059999999984,11.6159695817491,True
2858,75.63,0.79,22.14,15,174.170000000002,95.1557093425606,True
2859,75.63,0.79,22.14,15,693.109999999983,33.4215347038469,True
2860,75.63,0.79,22.14,15,845.629999999977,24.384286586607,True
2861,75.63,0.79,22.14,15,588.019999999988,41.8685121107266,True
2862,75.63,0.79,22.14,15,275.540000000003,91.1255851821698,True
2863,75.63,0.79,22.14,15,25.3700000000012,100.0,True
2864,75.63,0.79,22.14,10,565.460000000005,27.6996197718631,True
2865,75.63,0.79,22.14,20,863.839999999981,31.0078977059045,True
2866,75.63,0.79,22.14,15,482.929999999994,53.857113779768,True
2867,75.63,0.79,22.14,10,538.460000000007,29.8859315589353,True
2868,75.63,0.79,22.14,10,332.180000000002,76.6539923954372,True
2869,75.63,0.79,22.14,10,745.279999999993,19.9429657794677,True
2870,75.63,0.79,22.14,10,857.059999999985,14.0304182509506,True
2871,75.63,0.79,22.14,10,283.58,85.1140684410646,True
2872,75.63,0.79,22.14,20,133.76,95.2613764573148,True
2873,75.63,0.79,22.14,15,556.39999999999,44.3924282515775,True
2874,75.63,0.79,22.14,10,374.300000000003,62.8326996197719,True
2875,75.63,0.79,22.14,10,705.859999999996,21.4068441064639,True
2876,75.63,0.79,22.14,20,726.559999999986,36.0473862354269,True
2877,75.63,0.79,22.14,10,159.38,92.8707224334601,True
2878,75.63,0.79,22.14,15,143.480000000002,96.5194382251171,True
2879,75.63,0.79,22.14,10,455.300000000006,40.6653992395437,True
2880,75.63,0.79,22.14,10,359.720000000003,69.4866920152091,True
2881,75.63,0.79,22.14,15,628.939999999986,37.9605129248931,True
2882,75.63,0.79,22.14,20,820.159999999983,32.6250470101542,True
2883,75.63,0.79,22.14,10,798.199999999989,17.6235741444867,True
2884,75.63,0.79,22.14,20,447.319999999996,69.1237307258368,True
2885,75.63,0.79,22.14,15,398.299999999999,75.9210258497863,True
2886,75.63,0.79,22.14,10,801.439999999989,17.4144486692015,True
2887,75.63,0.79,22.14,10,472.040000000007,38.1178707224334,True
2888,75.63,0.79,22.14,20,581.479999999991,43.1365174877774,True
2889,75.63,0.79,22.14,10,785.77999999999,18.3840304182509,True
2890,75.63,0.79,22.14,20,556.519999999992,44.1143286949981,True
2891,75.63,0.79,22.14,15,271.820000000003,91.6344392428251,True
2892,75.63,0.79,22.14,10,840.319999999986,15.1140684410647,True
2893,75.63,0.79,22.14,20,709.399999999987,36.6303121474239,True
2894,75.63,0.79,22.14,20,784.279999999984,33.8473110191802,True
2895,75.63,0.79,22.14,15,279.260000000003,90.7999185833503,True
2896,75.63,0.79,22.14,15,714.499999999982,31.9967433340118,True
2897,75.63,0.79,22.14,15,638.239999999986,37.0242214532872,True
2898,75.63,0.79,22.14,20,781.159999999984,33.9037232042121,True
2899,75.63,0.79,22.14,15,124.880000000002,97.0690006106248,True
2900,75.63,0.79,22.14,10,189.62,90.9315589353612,True
2901,75.63,0.79,22.14,15,641.959999999986,36.8613881538775,True
2902,75.63,0.79,22.14,10,627.560000000001,24.7148288973384,True
2903,75.63,0.79,22.14,15,249.500000000003,92.7946265011195,True
2904,75.63,0.79,22.14,10,535.220000000007,30.1711026615969,True
2905,75.63,0.79,22.14,20,703.159999999987,37.0063933809703,True
2906,75.63,0.79,22.14,15,393.649999999999,76.5112965601466,True
2907,75.63,0.79,22.14,10,325.160000000001,78.4980988593156,True
2908,75.63,0.79,22.14,15,96.0500000000017,98.0052920822308,True
2909,75.63,0.79,22.14,10,455.840000000006,40.6653992395437,True
