,C,H,O,heat_rate,T,mass_porc,biomass
2362,41.67,5.28,39.77,15,839,5.01101,ESP
2363,41.67,5.28,39.77,20,722,6.59937263733617,ESP
2364,41.67,5.28,39.77,10,925,6.22255,ESP
2365,41.67,5.28,39.77,10,218,96.19037,ESP
2366,41.67,5.28,39.77,15,40,100.0,ESP
2367,41.67,5.28,39.77,10,436,9.68496,ESP
2368,41.67,5.28,39.77,20,279,79.3895278693799,ESP
2369,41.67,5.28,39.77,20,773,6.4586181935172,ESP
2370,41.67,5.28,39.77,10,602,6.11869,ESP
2371,41.67,5.28,39.77,10,385,15.43618,ESP
2372,41.67,5.28,39.77,20,333,30.3466580873482,ESP
2373,41.67,5.28,39.77,15,56,99.9656,ESP
2374,41.67,5.28,39.77,10,841,5.661,ESP
2375,41.67,5.28,39.77,10,875,6.02847,ESP
2376,41.67,5.28,39.77,20,776,6.43851041582884,ESP
2377,41.67,5.28,39.77,10,76,100.08288,ESP
2378,41.67,5.28,39.77,15,442,13.30778,ESP
2379,41.67,5.28,39.77,15,620,6.89785,ESP
2380,41.67,5.28,39.77,10,425,10.45221,ESP
2381,41.67,5.28,39.77,15,452,12.5472,ESP
2382,41.67,5.28,39.77,15,650,6.79983,ESP
2383,41.67,5.28,39.77,15,396,18.02435,ESP
2384,41.67,5.28,39.77,10,623,5.88952,ESP
2385,41.67,5.28,39.77,10,303,30.77865,ESP
2386,41.67,5.28,39.77,15,380,19.98066,ESP
2387,41.67,5.28,39.77,20,341,28.1146947639346,ESP
2388,41.67,5.28,39.77,10,417,11.21989,ESP
2389,41.67,5.28,39.77,20,748,6.49883374889407,ESP
2390,41.67,5.28,39.77,10,186,98.45844,ESP
2391,41.67,5.28,39.77,10,408,12.27174,ESP
2392,41.67,5.28,39.77,10,288,43.90873,ESP
2393,41.67,5.28,39.77,10,893,6.22553,ESP
2394,41.67,5.28,39.77,20,602,7.48411485562615,ESP
2395,41.67,5.28,39.77,15,210,97.54478,ESP
2396,41.67,5.28,39.77,10,82,99.96575,ESP
2397,41.67,5.28,39.77,10,772,5.87846,ESP
2398,41.67,5.28,39.77,15,372,21.22932,ESP
2399,41.67,5.28,39.77,10,941,6.22493,ESP
2400,41.67,5.28,39.77,10,461,8.08307,ESP
2401,41.67,5.28,39.77,10,424,10.59897,ESP
2402,41.67,5.28,39.77,15,527,8.0641,ESP
2403,41.67,5.28,39.77,15,497,9.55739,ESP
2404,41.67,5.28,39.77,15,205,98.06318,ESP
2405,41.67,5.28,39.77,20,407,18.6037159173168,ESP
2406,41.67,5.28,39.77,15,322,32.20921,ESP
2407,41.67,5.28,39.77,20,59,100.0,ESP
2408,41.67,5.28,39.77,10,521,6.82165,ESP
2409,41.67,5.28,39.77,20,457,13.9588192712942,ESP
2410,41.67,5.28,39.77,10,273,64.76942,ESP
2411,41.67,5.28,39.77,15,738,6.38529,ESP
2412,41.67,5.28,39.77,10,568,6.62701,ESP
2413,41.67,5.28,39.77,10,826,5.86194,ESP
2414,41.67,5.28,39.77,10,828,5.77191,ESP
2415,41.67,5.28,39.77,15,897,5.01101,ESP
2416,41.67,5.28,39.77,20,806,6.39829486045197,ESP
2417,41.67,5.28,39.77,10,663,5.78815,ESP
2418,41.67,5.28,39.77,10,393,13.93567,ESP
2419,41.67,5.28,39.77,10,699,5.81605,ESP
2420,41.67,5.28,39.77,10,827,5.77993,ESP
2421,41.67,5.28,39.77,15,806,4.97869,ESP
2422,41.67,5.28,39.77,15,617,6.89943,ESP
2423,41.67,5.28,39.77,10,733,5.68817,ESP
2424,41.67,5.28,39.77,10,557,6.68741,ESP
2425,41.67,5.28,39.77,10,550,6.71993,ESP
2426,41.67,5.28,39.77,20,268,85.2609989543956,ESP
2427,41.67,5.28,39.77,20,234,95.435534464731,ESP
2428,41.67,5.28,39.77,10,499,6.93268,ESP
