,C,H,O,heat_rate,T,mass_porc,biomass_PP
278,48.95,1.38,48.41,15,85.8625250000014,97.5242195909581,True
279,48.95,1.38,48.41,10,259.600000000005,81.1660329531052,True
280,48.95,1.38,48.41,10,145.000000000001,95.6400506970849,True
281,48.95,1.38,48.41,5,272.900000000011,34.5686626800033,True
282,48.95,1.38,48.41,5,342.903000000001,26.5774583679708,True
283,48.95,1.38,48.41,10,235.600000000004,88.8466413181243,True
284,48.95,1.38,48.41,10,308.200000000007,55.9188846641318,True
285,48.95,1.38,48.41,10,389.20000000001,24.9429657794677,True
286,48.95,1.38,48.41,10,47.1999999999986,99.7972116603296,True
287,48.95,1.38,48.41,10,101.199999999999,97.5411913814956,True
288,48.95,1.38,48.41,5,759.542999999988,4.64187069266047,True
289,48.95,1.38,48.41,5,760.534999999988,4.58823844895549,True
290,48.95,1.38,48.41,15,384.29435000001,16.7653390742734,True
291,48.95,1.38,48.41,5,91.7000000000023,99.1955163444263,True
292,48.95,1.38,48.41,10,382.00000000001,26.2610899873258,True
293,48.95,1.38,48.41,5,602.806999999994,10.8363948405782,True
294,48.95,1.38,48.41,5,696.05499999999,7.10895390308655,True
295,48.95,1.38,48.41,5,779.690999999987,3.62285806226707,True
296,48.95,1.38,48.41,5,248.300000000008,75.3559840175915,True
297,48.95,1.38,48.41,10,585.400000000017,11.8884664131813,True
298,48.95,1.38,48.41,15,144.570425000003,95.1291711517761,True
299,48.95,1.38,48.41,10,703.650000000016,7.98479087452475,True
300,48.95,1.38,48.41,15,383.31588500001,16.7922497308935,True
301,48.95,1.38,48.41,5,253.100000000009,66.2653187096082,True
302,48.95,1.38,48.41,5,84.200000000002,99.3027808318361,True
303,48.95,1.38,48.41,10,653.550000000018,9.2522179974652,True
304,48.95,1.38,48.41,10,457.000000000013,20.3548795944233,True
305,48.95,1.38,48.41,5,174.500000000005,96.7016170121478,True
306,48.95,1.38,48.41,5,244.100000000008,79.7001957576896,True
307,48.95,1.38,48.41,5,550.230999999996,13.3571102947092,True
308,48.95,1.38,48.41,15,724.306175000018,0.215285252960244,True
309,48.95,1.38,48.41,10,95.799999999999,97.7693282636249,True
310,48.95,1.38,48.41,10,112.6,97.1356147021546,True
311,48.95,1.38,48.41,5,102.500000000003,99.0346196133116,True
312,48.95,1.38,48.41,5,75.8000000000017,99.3564130755411,True
313,48.95,1.38,48.41,10,563.800000000017,13.1558935361217,True
314,48.95,1.38,48.41,5,871.990999999984,0.0563138558902205,True
315,48.95,1.38,48.41,15,176.859770000004,93.5145317545748,True
316,48.95,1.38,48.41,10,803.850000000014,4.25855513307992,True
317,48.95,1.38,48.41,15,58.4655050000006,98.8966630785791,True
318,48.95,1.38,48.41,5,269.30000000001,41.9967284331341,True
319,48.95,1.38,48.41,15,328.521845000008,25.6996770721206,True
320,48.95,1.38,48.41,5,103.400000000003,98.9809873696067,True
321,48.95,1.38,48.41,10,544.600000000016,14.1444866920152,True
322,48.95,1.38,48.41,10,715.340000000016,7.65525982256019,True
323,48.95,1.38,48.41,15,494.860895000013,9.79547900968785,True
324,48.95,1.38,48.41,10,332.800000000008,36.7807351077313,True
325,48.95,1.38,48.41,15,300.146360000008,57.454251883746,True
326,48.95,1.38,48.41,15,587.815070000016,4.60172228202376,True
327,48.95,1.38,48.41,5,32.3000000000001,99.8391032688853,True
328,48.95,1.38,48.41,5,203.000000000006,95.6557882599019,True
329,48.95,1.38,48.41,15,243.395390000006,89.935414424112,True
330,48.95,1.38,48.41,15,434.196065000011,13.5360602798708,True
331,48.95,1.38,48.41,5,622.646999999993,9.73693384462738,True
332,48.95,1.38,48.41,5,34.7000000000002,99.8122871470329,True
333,48.95,1.38,48.41,5,310.167,28.7763803598724,True
334,48.95,1.38,48.41,5,261.425000000009,55.3243409938056,True
335,48.95,1.38,48.41,5,97.1000000000025,99.115067978869,True
336,48.95,1.38,48.41,10,295.000000000007,61.3941698352345,True
337,48.95,1.38,48.41,10,221.200000000004,91.5589353612168,True
338,48.95,1.38,48.41,5,604.790999999994,10.7827625968733,True
339,48.95,1.38,48.41,5,160.400000000005,97.3452039366068,True
340,48.95,1.38,48.41,15,620.104415000017,3.49838536060287,True
341,48.95,1.38,48.41,5,143.300000000004,98.2837682014428,True
342,48.95,1.38,48.41,15,289.383245000007,68.0032292787944,True
343,48.95,1.38,48.41,5,594.870999999994,11.2118205465125,True
344,48.95,1.38,48.41,5,233.900000000008,88.6835965782629,True
345,48.95,1.38,48.41,5,749.622999999988,4.910031911185,True
346,48.95,1.38,48.41,5,176.300000000005,96.6479847684428,True
347,48.95,1.38,48.41,10,408.400000000011,23.2699619771864,True
348,48.95,1.38,48.41,5,146.900000000004,98.0960553484756,True
349,48.95,1.38,48.41,10,130.0,96.3244613434728,True
350,48.95,1.38,48.41,5,28.0999999999999,99.9195516344427,True
351,48.95,1.38,48.41,5,123.800000000003,98.766458394787,True
352,48.95,1.38,48.41,15,65.3147600000008,98.6275565123789,True
353,48.95,1.38,48.41,5,131.300000000004,98.7128261510821,True
354,48.95,1.38,48.41,15,669.027665000018,2.34122712594187,True
355,48.95,1.38,48.41,15,297.210965000007,60.4413347685684,True
356,48.95,1.38,48.41,5,209.300000000007,95.2803625539675,True
357,48.95,1.38,48.41,5,69.8000000000014,99.410045319246,True
358,48.95,1.38,48.41,10,293.200000000006,61.9264892268695,True
359,48.95,1.38,48.41,5,740.694999999989,5.49998659193912,True
360,48.95,1.38,48.41,15,267.857015000007,85.0107642626481,True
361,48.95,1.38,48.41,5,204.200000000006,95.6289721380495,True
362,48.95,1.38,48.41,5,167.000000000005,96.9429621088199,True
363,48.95,1.38,48.41,5,325.047000000001,27.757367729479,True
364,48.95,1.38,48.41,15,400.928255000011,15.8503767491927,True
365,48.95,1.38,48.41,5,33.8000000000001,99.8122871470329,True
366,48.95,1.38,48.41,5,198.800000000006,95.8166849910166,True
367,48.95,1.38,48.41,15,701.626175000019,0.780409041980622,True
368,48.95,1.38,48.41,5,575.030999999995,12.3112815424633,True
369,48.95,1.38,48.41,5,206.600000000007,95.4144431632298,True
370,48.95,1.38,48.41,15,162.182795000004,94.3487621097955,True
371,48.95,1.38,48.41,15,274.706270000007,81.4585575888052,True
372,48.95,1.38,48.41,5,486.742999999998,17.2722640851681,True
373,48.95,1.38,48.41,10,562.000000000017,13.2065906210393,True
374,48.95,1.38,48.41,5,702.00699999999,6.89442492826691,True
375,48.95,1.38,48.41,5,182.600000000006,96.4334557936231,True
376,48.95,1.38,48.41,10,75.3999999999983,98.5804816223068,True
377,48.95,1.38,48.41,15,606.405905000016,4.00968783638323,True
378,48.95,1.38,48.41,5,108.200000000003,98.9273551259017,True
379,48.95,1.38,48.41,5,344.887000000001,26.4970100024134,True
380,48.95,1.38,48.41,5,706.96699999999,6.62626370974229,True
381,48.95,1.38,48.41,5,717.878999999989,6.2508380038079,True
382,48.95,1.38,48.41,5,241.700000000008,82.3818079429353,True
383,48.95,1.38,48.41,5,98.6000000000025,99.0882518570165,True
384,48.95,1.38,48.41,5,116.900000000003,98.7932745166395,True
385,48.95,1.38,48.41,5,42.5000000000005,99.7318387814755,True
386,48.95,1.38,48.41,5,269.75000000001,41.9699123112816,True
387,48.95,1.38,48.41,10,621.820000000018,9.75918884664136,True
388,48.95,1.38,48.41,15,230.675345000006,91.0118406889128,True
389,48.95,1.38,48.41,15,387.22974500001,16.5500538213133,True
390,48.95,1.38,48.41,5,674.230999999991,7.88662143680782,True
391,48.95,1.38,48.41,5,42.8000000000004,99.7318387814755,True
392,48.95,1.38,48.41,5,48.8000000000006,99.6245742940656,True
393,48.95,1.38,48.41,15,75.0994100000011,98.2508073196986,True
394,48.95,1.38,48.41,10,258.400000000005,81.723700887199,True
