,C,H,O,heat_rate,T,mass_porc,biomass_MV
91,78.78,0.82,19.91,10,153.080000000004,98.1609993060374,True
92,78.78,0.82,19.91,10,40.4200000000017,99.6356696738376,True
93,78.78,0.82,19.91,20,611.740000000005,27.6263924592973,True
94,78.78,0.82,19.91,20,758.380000000013,18.3890317052271,True
95,78.78,0.82,19.91,10,747.340000000013,20.3851492019431,True
96,78.78,0.82,19.91,20,228.22,97.6006855184233,True
97,78.78,0.82,19.91,10,774.000000000013,18.736988202637,True
98,78.78,0.82,19.91,10,32.6800000000016,99.7571131158918,True
99,78.78,0.82,19.91,15,348.949999999996,85.2545547420399,True
100,78.78,0.82,19.91,20,425.619999999999,76.452442159383,True
101,78.78,0.82,19.91,20,592.940000000004,31.2082262210797,True
102,78.78,0.82,19.91,10,80.8400000000024,99.0631505898682,True
103,78.78,0.82,19.91,10,693.160000000012,25.4857737682165,True
104,78.78,0.82,19.91,20,112.6,98.9203084832904,True
105,78.78,0.82,19.91,20,533.72,35.4413024850042,True
106,78.78,0.82,19.91,20,358.879999999999,89.7343616109683,True
107,78.78,0.82,19.91,10,894.400000000006,7.21721027064539,True
108,78.78,0.82,19.91,10,75.6800000000023,99.1325468424705,True
109,78.78,0.82,19.91,20,247.96,97.3436161096829,True
110,78.78,0.82,19.91,20,638.060000000006,26.0325621251071,True
111,78.78,0.82,19.91,10,660.480000000011,27.8972935461485,True
112,78.78,0.82,19.91,20,318.459999999999,93.6760925449871,True
113,78.78,0.82,19.91,10,198.660000000004,96.8598195697432,True
114,78.78,0.82,19.91,20,455.699999999999,71.6195372750642,True
115,78.78,0.82,19.91,20,551.580000000001,33.9845758354756,True
116,78.78,0.82,19.91,20,513.039999999999,46.6838046272494,True
117,78.78,0.82,19.91,10,890.100000000007,7.56419153365718,True
118,78.78,0.82,19.91,10,897.840000000006,7.21721027064539,True
119,78.78,0.82,19.91,20,452.879999999999,72.4421593830334,True
120,78.78,0.82,19.91,20,302.479999999999,95.2185089974293,True
121,78.78,0.82,19.91,10,282.940000000006,90.4753643303262,True
122,78.78,0.82,19.91,10,205.540000000004,96.6516308119361,True
123,78.78,0.82,19.91,20,186.86,97.9948586118252,True
124,78.78,0.82,19.91,20,212.24,97.7377892030848,True
125,78.78,0.82,19.91,15,626.779999999994,22.8162778818321,True
126,78.78,0.82,19.91,10,880.640000000008,7.9979181124219,True
127,78.78,0.82,19.91,10,617.480000000011,29.2331714087439,True
128,78.78,0.82,19.91,20,860.840000000019,14.0188517566409,True
129,78.78,0.82,19.91,10,218.440000000005,96.2699514226232,True
130,78.78,0.82,19.91,20,648.400000000007,25.4498714652956,True
131,78.78,0.82,19.91,20,669.080000000008,24.1473864610111,True
132,78.78,0.82,19.91,15,239.329999999997,94.3640388217266,True
133,78.78,0.82,19.91,10,401.620000000007,58.587786259542,True
134,78.78,0.82,19.91,15,29.5399999999982,99.9829729269539,True
135,78.78,0.82,19.91,15,256.339999999997,93.6148476076962,True
136,78.78,0.82,19.91,20,92.8599999999999,99.1088260497,True
137,78.78,0.82,19.91,15,35.2099999999982,99.9318917078154,True
138,78.78,0.82,19.91,20,213.18,97.7377892030848,True
139,78.78,0.82,19.91,15,280.909999999996,92.8145751745275,True
140,78.78,0.82,19.91,20,435.019999999999,75.2527849185946,True
141,78.78,0.82,19.91,20,95.6799999999999,99.0745501285347,True
142,78.78,0.82,19.91,10,526.320000000009,34.0041637751562,True
143,78.78,0.82,19.91,20,356.999999999999,90.025706940874,True
144,78.78,0.82,19.91,20,489.539999999999,61.4567266495287,True
145,78.78,0.82,19.91,10,786.900000000014,17.8174878556558,True
146,78.78,0.82,19.91,15,500.149999999995,50.8768942618764,True
147,78.78,0.82,19.91,20,576.960000000003,32.7849185946872,True
148,78.78,0.82,19.91,10,246.820000000005,93.2859125607217,True
149,78.78,0.82,19.91,20,858.020000000019,14.293059125964,True
150,78.78,0.82,19.91,20,268.639999999999,96.3153384747215,True
151,78.78,0.82,19.91,10,431.720000000008,55.3088133240805,True
152,78.78,0.82,19.91,20,544.060000000001,34.3958868894601,True
153,78.78,0.82,19.91,10,97.1800000000026,98.8896599583623,True
154,78.78,0.82,19.91,10,662.200000000012,27.793199167245,True
155,78.78,0.82,19.91,20,545.000000000001,34.3616109682947,True
156,78.78,0.82,19.91,10,54.1800000000019,99.41013185288,True
157,78.78,0.82,19.91,15,401.869999999996,71.7861399625405,True
158,78.78,0.82,19.91,10,423.120000000008,55.9507286606523,True
159,78.78,0.82,19.91,20,148.32,98.5261353898886,True
160,78.78,0.82,19.91,15,670.249999999994,18.5765366933424,True
161,78.78,0.82,19.91,20,790.340000000015,16.898029134533,True
162,78.78,0.82,19.91,10,671.660000000012,27.1686328938237,True
163,78.78,0.82,19.91,10,631.240000000011,28.9382373351839,True
164,78.78,0.82,19.91,10,566.74000000001,30.9160305343511,True
165,78.78,0.82,19.91,10,259.720000000005,92.1582234559333,True
166,78.78,0.82,19.91,20,131.4,98.7317909168809,True
167,78.78,0.82,19.91,15,248.779999999997,93.8532266303422,True
168,78.78,0.82,19.91,10,264.880000000005,91.8459403192228,True
169,78.78,0.82,19.91,20,104.14,98.9888603256212,True
170,78.78,0.82,19.91,20,262.059999999999,96.5724078834618,True
171,78.78,0.82,19.91,20,748.980000000013,18.8174807197943,True
172,78.78,0.82,19.91,10,197.800000000004,96.8771686328938,True
173,78.78,0.82,19.91,20,562.860000000002,33.4532990574121,True
174,78.78,0.82,19.91,10,485.900000000009,44.9687716863289,True
175,78.78,0.82,19.91,15,789.32,9.14353822577897,True
176,78.78,0.82,19.91,20,449.119999999999,73.0248500428449,True
177,78.78,0.82,19.91,20,684.120000000009,23.2904884318766,True
178,78.78,0.82,19.91,15,82.4599999999978,99.4721607355695,True
179,78.78,0.82,19.91,20,308.119999999999,94.7386461011139,True
180,78.78,0.82,19.91,20,795.980000000015,16.7266495287061,True
181,78.78,0.82,19.91,20,843.920000000018,14.6358183376178,True
182,78.78,0.82,19.91,10,141.900000000003,98.3344899375434,True
183,78.78,0.82,19.91,10,842.800000000012,10.0798056904927,True
184,78.78,0.82,19.91,15,524.719999999995,42.6868721266814,True
185,78.78,0.82,19.91,15,522.829999999995,45.6495828367104,True
186,78.78,0.82,19.91,10,232.200000000005,95.5933379597501,True
187,78.78,0.82,19.91,20,114.48,98.8860325621251,True
188,78.78,0.82,19.91,20,516.799999999999,43.2390745501285,True
189,78.78,0.82,19.91,10,73.9600000000023,99.1672449687717,True
190,78.78,0.82,19.91,20,459.459999999999,70.8654670094258,True
191,78.78,0.82,19.91,20,57.1399999999999,99.502999143102,True
192,78.78,0.82,19.91,10,341.420000000006,79.0249826509369,True
193,78.78,0.82,19.91,20,204.72,97.8234790059983,True
194,78.78,0.82,19.91,10,82.5600000000024,99.0458015267176,True
195,78.78,0.82,19.91,10,581.36000000001,30.2567661346287,True
196,78.78,0.82,19.91,20,888.100000000021,12.6820908311911,True
197,78.78,0.82,19.91,20,147.38,98.5432733504713,True
198,78.78,0.82,19.91,10,806.680000000014,14.4691186675919,True
199,78.78,0.82,19.91,10,879.780000000008,7.9979181124219,True
200,78.78,0.82,19.91,10,48.1600000000018,99.5142262317835,True
201,78.78,0.82,19.91,15,549.289999999995,30.529541971735,True
202,78.78,0.82,19.91,20,391.779999999999,84.7129391602399,True
203,78.78,0.82,19.91,10,78.2600000000023,99.1151977793199,True
204,78.78,0.82,19.91,10,669.940000000012,27.411519777932,True
205,78.78,0.82,19.91,15,441.559999999995,62.7617912480845,True
206,78.78,0.82,19.91,20,351.359999999999,90.3341902313625,True
207,78.78,0.82,19.91,20,369.219999999999,87.9520137103684,True
208,78.78,0.82,19.91,15,477.469999999995,57.4152903115954,True
209,78.78,0.82,19.91,10,395.600000000007,60.2879944482998,True
210,78.78,0.82,19.91,10,783.460000000013,18.0256766134628,True
211,78.78,0.82,19.91,15,432.109999999995,64.0388217265452,True
212,78.78,0.82,19.91,15,687.259999999994,16.7886940234974,True
213,78.78,0.82,19.91,10,546.10000000001,32.2519083969465,True
214,78.78,0.82,19.91,10,675.100000000012,27.0471894517696,True
215,78.78,0.82,19.91,20,422.799999999999,77.0694087403599,True
216,78.78,0.82,19.91,20,687.880000000009,23.0505569837189,True
217,78.78,0.82,19.91,10,333.680000000006,79.6668979875087,True
218,78.78,0.82,19.91,10,50.7400000000019,99.4968771686329,True
219,78.78,0.82,19.91,10,770.560000000013,18.9972241498959,True
220,78.78,0.82,19.91,10,84.2800000000024,99.0284524635669,True
221,78.78,0.82,19.91,15,662.689999999994,19.0532947386344,True
222,78.78,0.82,19.91,20,153.96,98.4404455869751,True
223,78.78,0.82,19.91,10,159.960000000004,97.9875086745316,True
224,78.78,0.82,19.91,20,867.420000000019,13.6932305055698,True
225,78.78,0.82,19.91,20,272.399999999999,96.2467866323907,True
226,78.78,0.82,19.91,20,845.800000000018,14.5844044558697,True
227,78.78,0.82,19.91,15,326.269999999996,87.7745615528691,True
228,78.78,0.82,19.91,15,328.159999999996,87.7745615528691,True
229,78.78,0.82,19.91,10,703.480000000012,23.6120749479528,True
230,78.78,0.82,19.91,20,259.24,96.7095115681234,True
231,78.78,0.82,19.91,20,678.480000000009,23.6332476435304,True
232,78.78,0.82,19.91,20,600.460000000004,28.586118251928,True
233,78.78,0.82,19.91,10,488.480000000009,43.9278278972935,True
234,78.78,0.82,19.91,10,861.72000000001,9.45523941707145,True
235,78.78,0.82,19.91,20,672.840000000008,23.9588688946015,True
236,78.78,0.82,19.91,20,866.48000000002,13.6932305055698,True
237,78.78,0.82,19.91,15,821.450000000001,7.16839775242635,True
238,78.78,0.82,19.91,20,81.5799999999999,99.1773778920308,True
239,78.78,0.82,19.91,20,285.559999999999,95.8868894601542,True
240,78.78,0.82,19.91,20,550.640000000001,34.0188517566409,True
241,78.78,0.82,19.91,10,491.060000000009,43.5114503816794,True
242,78.78,0.82,19.91,10,175.440000000004,97.5364330326163,True
243,78.78,0.82,19.91,10,235.640000000005,95.3157529493408,True
244,78.78,0.82,19.91,15,210.979999999997,96.8840456325558,True
245,78.78,0.82,19.91,20,233.86,97.5492716366752,True
246,78.78,0.82,19.91,20,438.779999999999,74.2245072836332,True
